"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"DCBARRELPTH";"DCJACK_2MM_PTH";"CN1";"2.0mm DC Barrel Jack";"";
"2";"";"LED5MM";"LED5MM";"LED1, LED2";"LED";"";
"8";"";"PINHD-1X1";"1X01";"+5V, BJ, GJ, JGND, JHSYNC, JVCC1, JVSYNC, RJ";"Pin header 1x1 for 0.1" spacing";"";
"2";"";"PINHD-1X12-CB";"1X12-CB";"O13, O45";"PIN HEADER";"";
"2";"";"PINHD-1X4";"1X04";"JP2, JP13";"PIN HEADER";"";
"1";"";"PINHD-1X9";"1X09-BIG";"JP1";"Pin header 1x10 0.1" spacing";"";
"9";"";"PINHD-2X3";"2X03";"BLUE, GREEN, JP3, JP8, JP9, JP10, JP11, JP12, RED";"PIN HEADER";"";
"2";"";"R-US_0204/2V";"0204V";"LDR1, LDR2";"RESISTOR, American symbol";"";
"4";"100k";"R-US_0204/2V";"0204V";"R6, R7, R9, R10";"RESISTOR, American symbol";"";
"4";"101";"C-US050-025X075";"C050-025X075";"C1, C4, C10, C12";"CAPACITOR, American symbol";"";
"2";"102";"C-US050-025X075";"C050-025X075";"C2, C5";"CAPACITOR, American symbol";"";
"8";"103";"C-US050-025X075";"C050-025X075";"C3, C6, C8, C14, C16, C18, C22, C24";"CAPACITOR, American symbol";"";
"11";"104";"C-US050-025X075";"C050-025X075";"C7, C9, C11, C13, C15, C17, C19, C20, C21, C23, C25";"CAPACITOR, American symbol";"";
"6";"10k";"POT_USVERTICAL";"ALPS_POT_VERTICAL";"POT1, POT2, POT3, POT4, POT5, POT6";"";"";
"1";"1N4004";"1N4004";"DO41-10";"D2";"DIODE";"";
"6";"1k";"R-US_0204/2V";"0204V";"R1, R2, R3, R4, R5, R8";"RESISTOR, American symbol";"";
"1";"40106N";"40106N";"DIL14";"IC1";"Hex SCHMITT TRIGGER";"";
"3";"PJ302M";"PJ302M";"PJ302M";"JIN1, JIN2, JIN3";"PJ302M horizontal / right angled mount 3.5 mm jack socket";"";
"12";"T-80-T-SPDT-ON-OFF-ON";"T-80-T-SPDT-ON-OFF-ON";"M9040P";"U$1, U$2, U$3, U$4, U$5, U$6, U$7, U$8, U$9, U$10, U$11, U$12";"";"";
"2";"bc547";"-NPN-TO92-ECB";"TO92-ECB";"T1, T2";"NPN Transistror";"";
